aiddata_id,aiddata_2_id,year,donor,donor_iso,donor_region,implementing_agency,financing_agency,crs_bi_multi,recipient,recipient_iso,recipient_region,start_date,end_date,commitment_date,planned_start_date,planned_end_date,title,short_description,long_description,donor_project_id,donor_secondary_id,aiddata_sector_code,aiddata_sector_name,aiddata_purpose_code,aiddata_purpose_name,aiddata_activity_codes,aiddata_activity_names,flow_name,crs_sector_code,crs_sector_name,crs_purpose_code,crs_purpose_name,coalesced_purpose_code,coalesced_purpose_name,commitment_amount_usd_constant,total_project_cost,crs_trade,crs_climate,crs_biodiversity,crs_gender,crs_environment,crs_desertification,pdgg,channel_code,finance_t,associated_financing,future_ds_principal_amount_usd_nominal,future_ds_interest_amount_usd_nominal,received_amount_usd_nominal,irtc_amount_usd_nominal,untied_amount_usd_nominal,tied_amount_usd_nominal,partial_tied_amount_usd_nominal,finance_t,arrears_interest_amount_usd_nominal,arrears_principal_amount_usd_nominal,initial_report,ftc,repay_type,outstanding_amount_usd_nominal,interest_amount_usd_nominal,expert_commitment_amount_usd_nominal,export_credit_amount_usd_nominal,expert_extended_amount_usd_nominal,additional_info,source,source_detail
55406285,28270796,2006,Norway,NO,Europe,AID - Arbeids- og inkluderingsdepartementet,MFA,1,Belarus,BY,Europe,1/1/2006,1/1/2006,1/1/2006,,,Refugees in Norway,REFUGEES IN NORWAY,Refugees in Norway,AID2006-40,2006002502,720,Emergency response,72010,Material relief assistance and services,93010.01|72010.01,Refugees in Donor Country|All non-food relief items and assistance,ODA Grants,930,XI. Refugees in Donor Countries,93010,Refugees in donor countries,72010,Material relief assistance and services,169853,0,,0,0,0,0,,0,10000,,,0,0,0,0,122685.040843,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55410223,23805342,2005,France,FR,Europe,,MEN,1,Belarus,BY,Europe,,,1/1/2005,,,,COÛTS IMPUTÉS DES ÉTUDIANTS,,,58422,114,Post-secondary education,,,,,ODA Grants,114,I.1.d. Post-Secondary Education,11420,Higher education,11420,Higher education,3958858,0,,,,,,,,,,,0,0,0,0,3192459.96421,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55572847,25131844,2005,Greece,GR,Europe,INTERNATIONAL ORGANISATION FOR MIGRATION,YPEJ,1,Belarus,BY,Europe,18/10/2005,18/10/2005,1/1/2005,,,COMBATING TRAFFICKING AND VOLONTARY REPATRIATION O,COMBATING TRAFFICKING AND VOLONTARY REPATRIATION O,COMBATING TRAFFICKING AND VOLONTARY REPATRIATION OF ILLEGAL TRAFFICKING VICTIMS,YPEJ-YDAS-32,50175,151,"Government and civil society, general",15130,Legal and judicial development,15130.06|15150.07,Law enforcement and crime prevention|Human rights,ODA Grants,160,I.6. Other Social Infrastructure & Services,16010,Social/welfare services,15130,Legal and judicial development,80540,0,,0,0,1,0,,,,,,0,0,0,0,62142.6795923,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55596509,23806139,2005,France,FR,Europe,,MAE,1,Belarus,BY,Europe,,,1/1/2005,,,INSTITUT FRANCO-BIÉLORUSSE DE GESTION.,INSTITUT FRANCO-BIÉLORUSSE DE GESTION.,INSTITUT FRANCO-BIÉLORUSSE DE GESTION.,BIE-4B1-502,54242,114,Post-secondary education,,,,,ODA Grants,114,I.1.d. Post-Secondary Education,11420,Higher education,11420,Higher education,61649,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55619786,26217820,2005,Japan,JP,Far East Asia,"PUBLIC SECTOR (donor, recipient, other)",MOFA,1,Belarus,BY,Europe,,,1/1/2005,,,,TC AGGREGATED ACTIVITIES,TC AGGREGATED ACTIVITIES,,050456T,998,Unallocated/  unspecified,99810,Sectors not specified,99810.01,All other activities when sector is not specified,ODA Grants,998,XII. Unallocated / Unspecified,99810,Sectors not specified,99810,Sectors not specified,39659,0,,0,0,0,0,,0,10000,,,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55623369,38974805,2008,United Nations Development Programme (UNDP),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2008,,,BUMAD III,BUMAD III,,52629,2008002911,430,Other,43010,Multisector aid,12250.02,"Other infectious and parasitic disease, control",ODA Grants,430,IV.2. Other Multisector,43010,Multisector aid,43010,Multisector aid,253074,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,8,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55634072,24251975,2005,Italy,IT,Europe,,DGCS,1,Belarus,BY,Europe,1/1/1900,1/1/1900,1/1/2005,,,Agreement between the UNIFI and the University of Gomel,HIGHER EDUCATION,"These agreements promote the reciprocal exchange of teachers, researchers, students and technical and administrative staff and establish, on strictly-observed criteria of equality and mutual interests, the fields of study and research, the types of collaboration.",12,2005003021,114,Post-secondary education,11420,Higher education,22040.02,Computers ,ODA Grants,114,I.1.d. Post-Secondary Education,11420,Higher education,11420,Higher education,2927,0,,,,0,0,,0,,,,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55648363,37211342,2008,Greece,GR,Europe,YPEJ/GGAE,YPEJ,1,Belarus,BY,Europe,1/1/2008,31/12/2008,1/1/2008,,,SOCIAL  WELFARE SERVICES,SOCIAL WELFARE SERVICES,SOCIAL WELFARE SERVICES,YPEJ-GGAE-2008-20,2008000162,160,Other social infrastructure and services,16010,Social/ welfare services,16010.01,"Social/welfare services, activity unspecified or does not fit elsewhere in this group",ODA Grants,160,I.6. Other Social Infrastructure & Services,16010,Social/welfare services,16010,Social/ welfare services,5814,0,0,0,0,0,0,,0,10000,,,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55701354,35596821,2008,Germany,DE,Europe,Other,Fed.Min.,1,Belarus,BY,Europe,4/3/2008,30/7/2008,1/1/2008,,,Energy efficiency in industries,TRADE POLICY AND ADMIN. MANAGEMENT,Increase of competiveness of companies,202036390,2008012094,331,Trade policy and regulations,33110,Trade policy and administrative management,74010.03,"Institutional consensus, awareness, and capacity building",ODA Grants,331,III.3.a. Trade Policies & Regulations,33110,Trade policy and admin. management,33110,Trade policy and administrative management,28051,0,,,,0,1,,1,50000,,,0,0,0,0,28267.71,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55705288,28511546,2006,Sweden,SE,Europe,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,Sida,1,Belarus,BY,Europe,1/1/2006,28/9/2007,1/1/2006,,,SEEC 2006 - 2008,SEEC 2006 - 2008,,7230042201,2006002790,122,Basic health,12250,Infectious & Parasitic disease control,51010.01,"General budget support, activity unspecified or does not fit elsewhere in this group",ODA Grants,122,I.2.b. Basic Health,12250,Infectious disease control,12250,Infectious & Parasitic disease control,680609,0,,0,0,1,0,,1,20000,,,0,0,0,0,542497.931727,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55726584,26625636,2005,United Nations Development Programme (UNDP),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2005,,,Prevention of HIV/AIDS among p,STD CONTROL INCLUDING HIV/AIDS,"Accelerated implementation of AIDS funds and programmes financed through multilateral funding initiatives, including the Global Fund to fight AIDS, Tuberculosis, and Malaria (Poverty and MDGs).",41026,2005006077,130,Population policies/ programmes and reproductive health,13040,STD control including HIV/AIDS,24030.01|25010.08,"Other financial activities, or unspecified |General support to private sector enterprises",ODA Grants,130,I.3. Population Pol./Progr. & Reproductive Health,13040,Std control including hiv/aids,13040,STD control including HIV/AIDS,1605,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55798115,32907790,2007,Greece,GR,Europe,MINISTRY OF THE INTERIOR PUBLIC ADMINISTRATION & DECENTRALISATION-Hellenic Police Headquarters,YPESDDA,1,Belarus,BY,Europe,13/9/2007,5/10/2007,1/1/2007,,,"FOUR-DAY TRAINING PROGRAM FOR POLICEMEN, JUDGES AND OTHER EXPERTS (TRAIN THE TRAINERS) FROM 23 COUNTRIES FROM SOUTHERN AND EASTERN EUROPE AND ASIA, ON MISSING CHILDREN ISSUES",SOCIAL/WELFARE SERVICES,"FOUR-DAY TRAINING PROGRAM FOR POLICEMEN, JUDGES AND OTHER EXPERTS (TRAIN THE TRAINERS) FROM 23 COUNTRIES FROM SOUTHERN AND EASTERN EUROPE AND ASIA, ON MISSING CHILDREN ISSUES",YPESDDA-GGDT-2007-6,2007000628,151,"Government and civil society, general",15130,Legal and judicial development,15130.06|16010.05|15130.04,Law enforcement and crime prevention|Support for vulnerable groups|Legal training and education,ODA Grants,160,I.6. Other Social Infrastructure & Services,16010,Social/welfare services,15130,Legal and judicial development,7109,0,0,0,0,0,0,,1,10000,,,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55847293,35154448,2008,Austria,AT,Europe,ÖAD - Österreichischer  Austauschdienst,BM/BWK,1,Belarus,BY,Europe,1/1/2008,31/12/2008,1/1/2008,,,Post-Graduates scholarships in Austria,POST-GRADUATES SCHOLARSHIPS IN AUSTRIA,Ernst Mach-Stipendien - Post-Graduate Stipendien in Österreich,bmwf-043/2008,2008818433,114,Post-secondary education,,,,,ODA Grants,114,I.1.d. Post-Secondary Education,11420,Higher education,11420,Higher education,33073,0,,0,0,0,0,,0,22000,E01,,0,0,0,0,0,32540.0259628,0,E01,0,0,8,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55854030,27817299,2006,Germany,DE,Europe,Public sector,L G,1,Belarus,BY,Europe,1/1/2006,31/12/2006,1/1/2006,,,program to enable foreign students to study at a University in Germany,PROGRAM TO ENABLE FOREIGN STUDENTS TO STUDY AT A UNIVERSITY IN GERMANY,Prepartory program to enable foreign students to study at a University in Germany,NRW284,2006011884,111,"Education, level unspecified",11120,Education facilities and training,24010.04,Financial markets and systems,ODA Grants,111,"I.1.a. Education, Level Unspecified",11120,Education facilities and training,11120,Education facilities and training,40724,0,,,,,,,,10000,,,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55859667,30582379,2006,United Nations Children`s Fund (UNICEF),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2006,,,4130. CP Research and analysis,CP RESEARCH AND ANALYSIS,CP Research and analysis,,2006000288,160,Other social infrastructure and services,16010,Social/ welfare services,16010.08,Statistical capacity building,ODA Grants,160,I.6. Other Social Infrastructure & Services,16062,Statistical capacity building,16010,Social/ welfare services,2376,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,8,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
55912930,37812962,2008,Canada,CA,North & Central America,UNESCO Institute for Statistics,CIDA,1,"Bilateral, unspecified",,"Bilateral, unspecified",6/5/2008,31/3/2013,1/1/2008,,,UNESCO Institute for Statistics - UNESCO - UIS - FY 2008-09,UNESCO INSTITUTE FOR STATISTICS - UNESCO - UIS - FY 2008-09,"UNESCO - UIS - FY 2008-09cs (UIS) is one of nine specialized institutes of UNESCO, created in 1999 to foster evidence-based policy through the collection and use of high-quality and timely data in education, science and technology, and culture and communication. The UIS has developed the world's most comprehensive education database, and it is the official source of education related targets of the MDGS and Education for All Monitoring Reports. UIS is also the source of education statistics for the World Development Report (World Bank); the Human Development Report (UNDP); and the State of the World's Children (UNICEF). UIS has working relationships with over 70 countries and serves as the custodian and monitor of internationally comparable data in 200 countries that are surveyed annually for literacy statistics.Countries: Zimbabwe (.69%), Venezuela Rep B (.68%), Yemen (.68%), Ukraine (.66%), Samoa (.65%), Afghanistan TIS (.64%), Angola (.64%), Anguilla (.64%), Albania (.64%), Argentina (.64%), Armenia (.64%), Antigua/Barbuda (.64%), Azerbaijan Rep (.64%), Burundi (.64%), Benin (.64%), Burkina-Faso (.64%), Bangladesh (.64%), Bulgaria (.64%), Bosnia & Herz. (.64%), Belarus (.64%), Belize (.64%), Bolivia (.64%), Brazil (.64%), Barbados (.64%), Bhutan (.64%), Botswana (.64%), Central Afr.Rep (.64%), Congo, Dem Rep. (.64%), Chile (.64%), China (.64%), Côte d'Ivoire (.64%), Cameroon (.64%), Congo (.64%), Cook Islands (.64%), Colombia (.64%), Comoros (.64%), Cape Verde (.64%), Costa Rica (.64%), Cuba (.64%), Czech Republic (.64%), Djibouti (.64%), Dominica Cmwlt. (.64%), Dominican Rep. (.64%), Algeria (.64%), Ecuador (.64%), Egypt (.64%), Western Sahara (.64%), Eritrea (.64%), Estonia (.64%), Ethiopia (.64%), Rep Fiji Island (.64%), Micronesia, Fed (.64%), Gabon (.64%), Georgia (.64%), Ghana (.64%), Guinea (.64%), Gambia (.64%), Guinea-Bissau (.64%), Equatorial Guin (.64%), Grenada (.64%), Guatemala (.64%), Guyana (.64%), Honduras (.64%), Croatia (.64%), Haiti (.64%), Hungary (.64%), Indonesia (.64%), India (.64%), Iraq (.64%), Jamaica (.64%), Jordan (.64%), Kazakhstan Rep (.64%), Kenya (.64%), Kyrgyzstan (.64%), Cambodia (.64%), Kiribati Rep (.64%), St.Kitts Nevis (.64%), Lao, Dem. Rep. (.64%), Lebanon (.64%), Liberia (.64%), Saint Lucia (.64%), Sri Lanka (.64%), Lesotho (.64%), Lithuania (.64%), Latvia (.64%), Morocco (.64%), Moldova, Repub. (.64%), Madagascar (.64%), Maldives (.64%), Mexico (.64%), Marshall Islnds (.64%), Macedonia, Fr Y (.64%), Mali (.64%), Montenegro (.64%), Mongolia (.64%), Mozambique (.64%), Mauritania (.64%), Montserrat (.64%), Mauritius (.64%), Malawi (.64%), Malaysia (.64%), Namibia (.64%), Niger (.64%), Nigeria (.64%), Nicaragua (.64%), Niué Rep (.64%), Nepal (.64%), Nauru (.64%), Pakistan (.64%), Panama (.64%), Peru (.64%), Philippines (.64%), Palau (.64%), Papua Nw Guinea (.64%), Poland (.64%), Korea, Dem Rep. (.64%), Paraguay (.64%), PalestinianTOcp (.64%), Romania (.64%), Russian Fed. (.64%), Rwanda (.64%), Sudan (.64%),",M012838001,2008000738,111,"Education, level unspecified",,,,,ODA Grants,111,"I.1.a. Education, Level Unspecified",11182,Educational research,11182,Educational research,1052612,0,0,0,0,0,0,,0,41000,,,0,0,0,0,929973.030782,0,0,,0,0,1,1,,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
55990015,31379869,2007,Germany,DE,Europe,Public sector,BMZ,1,Belarus,BY,Europe,,,1/1/2007,,,Sustainable development of the rural areas. Promotion business development services for SME.,AGRICULTURAL EXTENSION,Sustainable development of the rural areas. Promotion business development services for SME.,ST0701201,2007006801,311,Agriculture,31181,Agricultural education/training,16010.09,Narcotics control,ODA Grants,311,III.1.a. Agriculture,31166,Agricultural extension,31181,Agricultural education/training,67115,0,,,,0,0,,0,10000,,,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
56022242,38975029,2008,United Nations Development Programme (UNDP),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2008,,,SUPPORTING BELARUS ACCESSION T,SUPPORTING BELARUS ACCESSION T,,57626,2008003905,430,Other,43010,Multisector aid,16020.05|52010.02|52010.01,"Employment support programs|Food supply|Food aid/Food security programmes, activity unspecified",ODA Grants,430,IV.2. Other Multisector,43010,Multisector aid,43010,Multisector aid,46447,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,8,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
56053814,36077615,2008,Italy,IT,Europe,"PUBLIC SECTOR (donor, recipient, other)",LA,1,Belarus,BY,Europe,,31/12/2008,1/1/2008,,,restructuring home - family in Belarus - contribution,RESTRUCTURING HOME - FAMILY IN BELARUS - CONTRIBUTION,restructuring home family for childrens in discomfort and orphans,1,2008001018,160,Other social infrastructure and services,16010,Social/ welfare services,16010.05,Support for vulnerable groups,ODA Grants,160,I.6. Other Social Infrastructure & Services,16010,Social/welfare services,16010,Social/ welfare services,2886,0,0,0,0,1,0,,0,10000,,,0,0,0,0,2884.75407472,0,0,,0,0,1,1,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
56056385,30583248,2006,United Nations Children`s Fund (UNICEF),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2006,,,4187. Development of policy and legal options,DEVELOPMENT OF POLICY AND LEGAL OPTIONS,Development of policy and legal options,,2006000306,151,"Government and civil society, general",15110,Economic and development policy/planning,15110.04|16010.02|16020.02,Support to other ministries and government departments when sector cannot be specified|Social legislation and administration|Employment policy and planning,ODA Grants,151,I.5.a. Government & Civil Society-general,15110,Public sector policy and adm. management,15110,Economic and development policy/planning,416,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,8,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
56058831,30583345,2006,United Nations Children`s Fund (UNICEF),,Multilaterals,,,4,Belarus,BY,Europe,,,1/1/2006,,,"4014. Micronutrients excl VitA, IDD, Fe","MICRONUTRIENTS EXCL VITA, IDD, FE","Micronutrients excl VitA, IDD, Fe",,2006000274,122,Basic health,12240,Basic nutrition,32120.01,"Industrial development, activity unspecified or does not fit elsewhere in group",ODA Grants,122,I.2.b. Basic Health,12240,Basic nutrition,12240,Basic nutrition,2174,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,8,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
56071982,36280632,2008,Norway,NO,Europe,Norges Røde Kors,MFA,1,Belarus,BY,Europe,9/12/2008,31/12/2009,1/1/2008,,,Belarus Red Cross IFRC  Strengthening civil society in Belarus,BELARUS RED CROSS IFRC STRENGTHENING CIVIL SOCIETY IN BELARUS,The purpose of this project is to strengthen civil society and addressing the needs of the most vulnerable in Belarus.,BLR-08/024,2008001700,151,"Government and civil society, general",15150,Strengthening civil society,16010.05|15150.01,"Support for vulnerable groups|Strengthening civil society, activity unspecified or does not fit elsewhere in group",ODA Grants,151,I.5.a. Government & Civil Society-general,15150,Democratic participation and civil society,15150,Strengthening civil society,302087,0,,0,0,0,0,,2,22000,,,0,0,0,0,280342.718974,0,0,,0,0,1,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
56125683,36670485,2008,Switzerland,CH,Europe,Swiss Humanitarian Aid Unit,SDC,1,Belarus,BY,Europe,1/1/2006,31/12/2008,1/1/2008,,,Radiation Monitoring Khoiniki,RADIATION MONITORING KHOINIKI,,7F-03460.02.01,2006003831,740,Disaster prevention and preparedness,74010,Disaster prevention and preparedness,74010.02,Disaster risk assessment and monitoring,ODA Grants,720,VIII.1. Emergency Response,72010,Emergency/distress relief,74010,Disaster prevention and preparedness,113096,0,,0,0,0,,,0,10000,,,0,0,0,0,91190.9538574,0,0,,0,0,3,,,0,0,0,0,0,,Previous Aid Flows,CRS_ONLINE_MAY2011
